,content,text_only,text_len,type,source_identifier,file_name
0,"The Primordial Black Holes (PBHs) \cite{Zeldovich:1967lct, Hawking:1971ei, Carr:1974nx} are interesting in many research fields such as gravity, cosmology and astrophysics. Being generated from overdensed spacetime curvature fluctuations in the very early universe, the PBHs can escape from the constraint of Chandrasekhar limit, and thus have wider mass range than astrophysical black holes with fruitful properties. Not only is it possible for PBHs to act as $100\%$ dark matter, but also they can produce gravitational waves and/or Hawking radiations, which can be used as a probe of the early universe. See \cite{Sasaki:2018dmp, Yuan:2021qgz, Villanueva-Domingo:2021spv, Oncins:2022ydg, Escriva:2022duf, Carr:2025kdk} for recent reviews and references therein.  
","The Primordial Black Holes (PBHs) are interesting in many research fields such as gravity, cosmology and astrophysics. Being generated from overdensed spacetime curvature fluctuations in the very early universe, the PBHs can escape from the constraint of Chandrasekhar limit, and thus have wider mass range than astrophysical black holes with fruitful properties. Not only is it possible for PBHs to act as dark matter, but also they can produce gravitational waves and/or Hawking radiations, which can be used as a probe of the early universe. See for recent reviews and references therein.",591,text,Source_0,2510.22218v1
1,"The latest observations of gravitational waves with the pulsar timing array (PTA) have been released almost simultaneously by NANOGrav 15yr \cite{NANOGrav:2023gor, NANOGrav:2023hvm}, PPTA \cite{Reardon:2023gzh, Zic:2023gta}, EPTA (with InPTA) \cite{EPTA:2023fyk, EPTA:2023gyr} and CPTA \cite{Xu:2023wog}. By observing a group of millisecond pulsars, they presented the signal correlations of Hellings-Downs angular pattern from $2\sigma$ to over $4\sigma$, which indicates the evidence for stochastic gravitational wave background (SGWB). Moreover, a strain spectrum of $A\sim 10^{-15}$ at a reference of $1\text{yr}^{-1}$ (or nHz) has been found. Although sources from a population of supermassive black hole binary (SMBHB) are consistent, it shows that more exotic cosmological and astrophysical sources are more favored. As a precise example, the NANOGrav 15yr data prefers a power-law exponent of gravitational wave power spectral density $\gamma=3.2\pm0.6$ \cite{NANOGrav:2023gor, NANOGrav:2023hvm, NANOGrav:2023hfp} while the SMBHB gives rise to a more steep $\gamma=13/3$ \cite{Phinney:2001di}. For this reason, people are considering other mechanisms for this PTA signal, such as environment effects \cite{Ellis:2023dgf}, or other cosmological sources, such as primordial gravitational waves (pGWs) \cite{Grishchuk:1974ny, Starobinsky:1979ty}, scalar-induced gravitational waves (SIGWs) \cite{Tomita:1967wkp,Matarrese:1993zf,Matarrese:1997ay, Acquaviva:2002ud, Ananda:2006af, Domenech:2021ztg}, first-order phase transition (FOPT) \cite{Witten:1984rs, Hogan:1986dsh}, topological defects \cite{Vilenkin:1984ib, Burden:1985md, Hindmarsh:1994re} and so on. See \cite{Ellis:2023oxs} for review about these sources.
","The latest observations of gravitational waves with the pulsar timing array (PTA) have been released almost simultaneously by NANOGrav 15yr , PPTA , EPTA (with InPTA) and CPTA . By observing a group of millisecond pulsars, they presented the signal correlations of Hellings-Downs angular pattern from to over , which indicates the evidence for stochastic gravitational wave background (SGWB). Moreover, a strain spectrum of at a reference of (or nHz) has been found. Although sources from a population of supermassive black hole binary (SMBHB) are consistent, it shows that more exotic cosmological and astrophysical sources are more favored. As a precise example, the NANOGrav 15yr data prefers a power-law exponent of gravitational wave power spectral density while the SMBHB gives rise to a more steep . For this reason, people are considering other mechanisms for this PTA signal, such as environment effects , or other cosmological sources, such as primordial gravitational waves (pGWs) , scalar-induced gravitational waves (SIGWs) , first-order phase transition (FOPT) , topological defects and so on. See for review about these sources.",1143,text,Source_1,2510.22218v1
2,"Among those candidates of PTA sources mentioned above, there is an interesting possibility that it could be gravitational waves induced by scalar primordial perturbations. It has been shown in Ref. \cite{Figueroa:2023zhu} with the model comparison Bayesian analysis that, the SIGW signal provides a better fit to the PTA data than the astrophysical counterpart. Moreover, it also provides a mechanism for PBH formation. But wait. What about the amount of the PBHs if we require the SIGW be suitable to explain the PTA data? In standard cosmology, both PBHs and its accompanying SIGWs are produced by the small-scale perturbations that are generated near the end of inflation. However, in Ref. \cite{Franciolini:2023pbf}, it was claimed that for single-field inflationary scenarios without non-Gaussianity, or even with positive non-Gaussianity, the amount of PBHs will be overproduced (with its fraction $f_{\rm PBH}\geq 1$) when the SIGW spectrum is required to explain the PTA data. The same results are obtained in \cite{Dandoy:2023jot} even for earlier NANOGrav 12.5yr observational data analysis. Such a tension, dubbed as the ``overproduction problem"", will thus place severe constraints on inflationary models which is responsible for PBH production. 
","Among those candidates of PTA sources mentioned above, there is an interesting possibility that it could be gravitational waves induced by scalar primordial perturbations. It has been shown in Ref. with the model comparison Bayesian analysis that, the SIGW signal provides a better fit to the PTA data than the astrophysical counterpart. Moreover, it also provides a mechanism for PBH formation. But wait. What about the amount of the PBHs if we require the SIGW be suitable to explain the PTA data? In standard cosmology, both PBHs and its accompanying SIGWs are produced by the small-scale perturbations that are generated near the end of inflation. However, in Ref. , it was claimed that for single-field inflationary scenarios without non-Gaussianity, or even with positive non-Gaussianity, the amount of PBHs will be overproduced (with its fraction ) when the SIGW spectrum is required to explain the PTA data. The same results are obtained in even for earlier NANOGrav 12.5yr observational data analysis. Such a tension, dubbed as the ``overproduction problem"", will thus place severe constraints on inflationary models which is responsible for PBH production.",1166,text,Source_2,2510.22218v1
3,"The requirement to overcome this issue places constraints on the inflation models, which requires them to possess certain features. Naively speaking, it may be helpful to reduce the population of the formed PBHs with either a large negative non-Gaussianity \cite{Franciolini:2023pbf, Wang:2023ost, Liu:2023ymk, DeLuca:2023tun, Firouzjahi:2023xke, Chang:2023aba, Pi:2024lsu, Inui:2024fgk} or a different window function/threshold value \cite{Inomata:2023zup}, but for better illustration, it is important to have a concrete model, see \cite{Unal:2023srk, Geller:2023shn, HosseiniMansoori:2023mqh, Balaji:2023ehk, Gorji:2023sil, Zhu:2023gmx, Liu:2023pau, Frosina:2023nxu, Bhaumik:2023wmw, Choudhury:2023hfm, Yi:2023npi, Choudhury:2023fwk, Liu:2023hpw, Choudhury:2023fjs, Choudhury:2024one, Wang:2024euw, Domenech:2024rks, Papanikolaou:2024fzf, Choudhury:2024dzw, Choudhury:2024kjj}. In this work, we're particularly interested in the case where the dispersion relation of the inflaton field gets modified, with a correction of $k^4$ term. In some higher derivative theories or modified gravity theories interesting in cosmology, it is natural to modify the dispersion relation, while such a term will appear as a leading order correction \cite{Arkani-Hamed:2003pdi, Arkani-Hamed:2003juy, Qiu:2015aha, Qiu:2018nle}. Moreover, this term could also allow us to get a varying sound speed $c_s$, which is useful to generate PBHs without violating the consistency requirement and leading to strong coupling \cite{Ballesteros:2018wlw, Ballesteros:2021fsp, Gorji:2021isn, Qiu:2022klm}. Note that people have considered a constant $c_s$ different from unity during both inflation \cite{Choudhury:2023fwk,Choudhury:2023fjs} and the radiation-dominant era \cite{Balaji:2023ehk,Liu:2023hpw}. The former will affect the primordial power spectrum generated during inflation, while the latter will affect the transfer function in the calculation of the SIGW. On the other hand, the case where $c_s$ varys during the inflation era is less discussed. 
","The requirement to overcome this issue places constraints on the inflation models, which requires them to possess certain features. Naively speaking, it may be helpful to reduce the population of the formed PBHs with either a large negative non-Gaussianity or a different window function/threshold value , but for better illustration, it is important to have a concrete model, see . In this work, we're particularly interested in the case where the dispersion relation of the inflaton field gets modified, with a correction of term. In some higher derivative theories or modified gravity theories interesting in cosmology, it is natural to modify the dispersion relation, while such a term will appear as a leading order correction . Moreover, this term could also allow us to get a varying sound speed , which is useful to generate PBHs without violating the consistency requirement and leading to strong coupling . Note that people have considered a constant different from unity during both inflation and the radiation-dominant era . The former will affect the primordial power spectrum generated during inflation, while the latter will affect the transfer function in the calculation of the SIGW. On the other hand, the case where varys during the inflation era is less discussed.",1284,text,Source_3,2510.22218v1
4,"The rest of the paper is arrange as follows: In Sec. \ref{sec:pert} we calculate the primordial perturbations of general inflation model with modified dispersion relation, and obtain the curvature power spectrum. In Sec. \ref{sec:IGW} we discuss about the gravitational waves induced by such a power spectrum, and constrain the parameters using the recent PTA data. In Sec. \ref{sec:PBH} we consider the PBHs generated at the end of inflation, and compare the fraction of PBHs to the data constraint to see whether the overproduction issue can be effectively avoided. Sec. \ref{sec:conclusion} is our conclusions and discussions. 
","The rest of the paper is arrange as follows: In Sec. we calculate the primordial perturbations of general inflation model with modified dispersion relation, and obtain the curvature power spectrum. In Sec. we discuss about the gravitational waves induced by such a power spectrum, and constrain the parameters using the recent PTA data. In Sec. we consider the PBHs generated at the end of inflation, and compare the fraction of PBHs to the data constraint to see whether the overproduction issue can be effectively avoided. Sec. is our conclusions and discussions.",565,text,Source_4,2510.22218v1
5,"We consider the inflation model where the dispersion relation of the inflation perturbation is modified with a $k^4$ correction \cite{Arkani-Hamed:2003pdi, Arkani-Hamed:2003juy, Qiu:2015aha, Qiu:2018nle}. In general case without model specification, the Mukhanov-Sasaki equation of the curvature perturbation can be written as:
","We consider the inflation model where the dispersion relation of the inflation perturbation is modified with a correction . In general case without model specification, the Mukhanov-Sasaki equation of the curvature perturbation can be written as:",246,text,Source_5,2510.22218v1
6,"\begin{equation}
\label{zetabar}
{u_k''} {\rm{ + }}\left[{c_s^2{k^2} + {{\alpha }^2}{k^4}{\tau ^2} - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u _k} = 0~.
\end{equation}","\begin{equation}
\label{zetabar}
{u_k''} {\rm{ + }}\left[{c_s^2{k^2} + {{\alpha }^2}{k^4}{\tau ^2} - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u _k} = 0~.
\end{equation}",176,text,Source_6,2510.22218v1
7,"Here, $c_s$ stands for the sound speed of the perturbation, $\tau$ stands for the conformal time and $\alpha$ is the coefficient of the $k^4$ term. The variable $u_k$ is redefinition of the curvature perturbation $\zeta_k$, with the relation
","Here, stands for the sound speed of the perturbation, stands for the conformal time and is the coefficient of the term. The variable is redefinition of the curvature perturbation , with the relation",198,text,Source_7,2510.22218v1
8,"\begin{equation}%
\label{zeta}
u_k =z\zeta_k~,~~~ z \propto a\left( \tau  \right)~.
\end{equation}","\begin{equation}%
\label{zeta}
u_k =z\zeta_k~,~~~ z \propto a\left( \tau  \right)~.
\end{equation}",98,text,Source_8,2510.22218v1
9,"We consider the varying sound speed as:
",We consider the varying sound speed as:,39,text,Source_9,2510.22218v1
10,"\begin{equation}%
\label{soundspeed}
c_s  \left\{{\begin{array}{*{20}{r}}
\simeq 1~,&\tau<\tau_\ast\\
\ll 1~,&\tau>\tau_\ast
\end{array}} \right.
\end{equation}","\begin{equation}%
\label{soundspeed}
c_s  \left\{{\begin{array}{*{20}{r}}
\simeq 1~,&\tau<\tau_\ast\\
\ll 1~,&\tau>\tau_\ast
\end{array}} \right.
\end{equation}",160,text,Source_10,2510.22218v1
11,"where $\tau_\ast$ is some pivot time \cite{Gorji:2021isn, Qiu:2022klm}. It is also convenient to dub the two regions as ``slow-roll phase"" and ``stealth phase"" respectively. Then Eq. \eqref{zetabar} turns out to be
","where is some pivot time . It is also convenient to dub the two regions as ``slow-roll phase"" and ``stealth phase"" respectively. Then Eq. turns out to be",153,text,Source_11,2510.22218v1
12,"\begin{align}\label{sreq}
{u^{\rm{sr}}_k}'' +\left[{c_s^2{k^2}  - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u^{\rm{sr}}_k} = 0~~~
\text{for slow-roll phase}~, \\
\label{steq}
{u^{\rm{st}}_k}''+\left[{{{\alpha }^2}{k^4}{\tau ^2} - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u^{\rm{st}}_k} = 0~~~
\text{for stealth phase}~.
\end{align}","\begin{align}\label{sreq}
{u^{\rm{sr}}_k}'' +\left[{c_s^2{k^2}  - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u^{\rm{sr}}_k} = 0~~~
\text{for slow-roll phase}~, \\
\label{steq}
{u^{\rm{st}}_k}''+\left[{{{\alpha }^2}{k^4}{\tau ^2} - \frac{{{\theta ^2} - 1/4}}{{{\tau ^2}}}} \right]{u^{\rm{st}}_k} = 0~~~
\text{for stealth phase}~.
\end{align}",346,text,Source_12,2510.22218v1
13,"It is straightforward to get the solution in both phases, which has been done in \cite{Gorji:2021isn, Qiu:2022klm}: 
","It is straightforward to get the solution in both phases, which has been done in :",82,text,Source_13,2510.22218v1
14,"{u^{\rm{st}}_k}(k,\tau)&=&\sqrt{-\tau}\left[C^{\rm{st}}_{1}H^{(1)}_{3/4}\left(\frac{\alpha k^2\tau^2}{2}\right)+C^{\rm{st}}_{2} H^{(2)}_{3/4}\left(\frac{\alpha k^2\tau^2}{2}\right)\right]~,
","{u^{}_k}(k,)&=&~,",17,text,Source_14,2510.22218v1
15,"\end{eqnarray}
where $C^{\rm{sr}}_{1}$, $C^{\rm{sr}}_{2}$, $C^{\rm{st}}_{1}$, $C^{\rm{st}}_{2}$ are constant coefficients, while $H^{(1)}$ and $H^{(2)}$ are the first and the second Hankel functions.
","where , , , are constant coefficients, while and are the first and the second Hankel functions.",95,text,Source_15,2510.22218v1
16,"The coefficients of the slow-roll phase solution can be determined by the initial condition of inflation, namely Bunch-Davies vacuum solution. This gives the coefficients as:
","The coefficients of the slow-roll phase solution can be determined by the initial condition of inflation, namely Bunch-Davies vacuum solution. This gives the coefficients as:",174,text,Source_16,2510.22218v1
17,"\begin{equation}
   C^{\rm{sr}}_{1}=\frac{\sqrt{\pi}}{2}~,~~~C^{\rm{sr}}_{2}=0~.
\end{equation}","\begin{equation}
   C^{\rm{sr}}_{1}=\frac{\sqrt{\pi}}{2}~,~~~C^{\rm{sr}}_{2}=0~.
\end{equation}",95,text,Source_17,2510.22218v1
18,"On the other hand, in order to determine the coefficients of the stealth phase solution, we impose the junction relations at the pivot time $\tau_\ast$:
","On the other hand, in order to determine the coefficients of the stealth phase solution, we impose the junction relations at the pivot time :",141,text,Source_18,2510.22218v1
